t_d,pH,COD_mg/L,NH3_N_mg/L,TN_mg/L,TP_mg/L,qvm_L/s,,,,,,,,,,,,,,,,
262,6.31,151.071,10.589,11.307,1.018,355.68,,,,,,,,,,,,,,,,
263,6.45,145.092,4.906,11.806,1.016,370.77,,,,,,,,,,,,,,,,
264,6.43,157.893,4.71,11.467,1.01,381.54,,,,,,,,,,,,,,,,
265,6.37,130.176,4.536,11.178,1.012,356.9,,,,,,,,,,,,,,,,
266,6.45,172.332,5.067,12.571,1.01,364.06,,,,,,,,,,,,,,,,
267,6.35,135.413,4.499,11.983,1.01,381.86,,,,,,,,,,,,,,,,
268,6.43,163.177,4.481,10.802,1.021,358,,,,,,,,,,,,,,,,
269,6.39,153.452,4.35,8.854,1.019,366.07,,,,,,,,,,,,,,,,
270,6.31,447.382,4.385,13.097,1.018,358.29,,,,,,,,,,,,,,,,
271,6.34,154.609,4.523,9.749,1.02,337.33,,,,,,,,,,,,,,,,
272,6.42,137.949,12.564,14.885,1.844,353.7,,,,,,,,,,,,,,,,
273,6.44,151.65,12.054,18.499,1.739,370.01,,,,,,,,,,,,,,,,
274,6.39,122.783,12.589,15.094,1.386,368.96,,,,,,,,,,,,,,,,
275,6.39,128.173,15.724,23.413,1.785,373.59,,,,,,,,,,,,,,,,
276,6.37,150.117,17.203,29.579,1.862,383.35,,,,,,,,,,,,,,,,
277,6.32,152.221,17.959,31.041,1.958,373.82,,,,,,,,,,,,,,,,
278,6.37,164.754,13.837,27.012,1.752,365.16,,,,,,,,,,,,,,,,
279,6.4,141.226,14.026,25.109,1.547,359.37,,,,,,,,,,,,,,,,
280,6.4,128.63,14.287,20.694,1.543,376.86,,,,,,,,,,,,,,,,
281,6.41,140.442,12.971,22.474,1.789,362.08,,,,,,,,,,,,,,,,
282,6.38,122.383,13.389,19.09,1.474,359.34,,,,,,,,,,,,,,,,
283,6.13,153.752,14.55,23.315,1.411,362.1,,,,,,,,,,,,,,,,
284,6.43,123.742,13.999,25.943,1.263,376.73,,,,,,,,,,,,,,,,
285,6.59,74.572,10.478,20.501,1.253,372.09,,,,,,,,,,,,,,,,
286,6.51,132.426,12.708,17.978,1.155,368.87,,,,,,,,,,,,,,,,
287,6.51,150.683,13.486,20.506,1.312,380.85,,,,,,,,,,,,,,,,
288,6.38,134.547,13.022,18.983,1.17,362.21,,,,,,,,,,,,,,,,
289,6.37,132.381,14.075,18.148,0.933,378.26,,,,,,,,,,,,,,,,
290,6.43,177.74,14.868,18.497,1.153,372.69,,,,,,,,,,,,,,,,
291,6.29,227.267,14.715,27.217,2.289,369.88,,,,,,,,,,,,,,,,
292,6.21,136.64,12.528,27.303,1.831,379,,,,,,,,,,,,,,,,
293,6.45,122.418,13.437,18.836,0.869,373.1,,,,,,,,,,,,,,,,
294,6.5,141.979,14.712,19.467,0.96,374.7,,,,,,,,,,,,,,,,
295,6.46,197.519,16.864,19.126,1.415,369.37,,,,,,,,,,,,,,,,
296,6.33,145.744,13.548,13.987,1.097,361.41,,,,,,,,,,,,,,,,
297,6.31,128.712,15.192,15.223,1.453,366.65,,,,,,,,,,,,,,,,
298,6.18,475.121,15.6,17.18,1.43,366.26,,,,,,,,,,,,,,,,
299,6.42,133.617,11.738,13.943,1.068,364.41,,,,,,,,,,,,,,,,
300,6.42,133.479,13.123,14.439,0.908,356.91,,,,,,,,,,,,,,,,
301,6.45,138.538,12.513,13.73,1.206,368,,,,,,,,,,,,,,,,
302,6.52,122.446,7.644,13.778,1.251,375.48,,,,,,,,,,,,,,,,
303,6.48,146.196,4.816,12.08,0.925,374.47,,,,,,,,,,,,,,,,
304,6.31,133.606,6.152,12.777,0.963,372.41,,,,,,,,,,,,,,,,
305,6.35,108.441,7.205,11.471,0.916,371.28,,,,,,,,,,,,,,,,
306,6.37,105.97,7.906,11.476,0.898,358.25,,,,,,,,,,,,,,,,
307,6.39,102.083,8.432,10.494,0.884,366.16,,,,,,,,,,,,,,,,
308,6.45,103.31,9.035,12.886,0.963,372.81,,,,,,,,,,,,,,,,
309,6.38,91.428,8.481,14.324,1.092,364.43,,,,,,,,,,,,,,,,
310,6.13,93.045,8.718,15.048,1.123,257.48,,,,,,,,,,,,,,,,
311,6.57,95.247,9.353,14.925,1.097,369,,,,,,,,,,,,,,,,
312,6.53,113.83,9.851,15.033,1.676,345.3,,,,,,,,,,,,,,,,
313,6.29,96.937,9.965,13.669,1.73,347.96,,,,,,,,,,,,,,,,
314,6.39,88.161,10.475,13.193,1.601,354.15,,,,,,,,,,,,,,,,
315,6.41,83.102,10.027,13.062,1.583,359.23,,,,,,,,,,,,,,,,
